Word,Category,Definition,Definition,Definition,Definition,Definition,Definition,Definition,Definition,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
dictionary,noun,валкс,,,,,,,,,,,,,,,,,,,
die,verb,куломс,,,,,,,,,,,,,,,,,,,
diet,noun,диета,,,,,,,,,,,,,,,,,,,
difference,noun,явовома,,,,,,,,,,,,,,,,,,,
difficult,adjective,стака (тев),,,,,,,,,,,,,,,,,,,
difficulty,noun,стакачи,,,,,,,,,,,,,,,,,,,
dig,verb,чувномс,,,,,,,,,,,,,,,,,,,
digest,verb,соламс (пексэ ярсамопель),,,,,,,,,,,,,,,,,,,
digestion,noun,(ярсамопелень) соламо,,,,,,,,,,,,,,,,,,,
dignity,noun,"чамачи, достоинства",,,,,,,,,,,,,,,,,,,
dilemma,noun,стака кочкамо,,,,,,,,,,,,,,,,,,,
diligence,noun,мелень путома,,,,,,,,,,,,,,,,,,,
diligent,adjective,"мелень, виень путыця",,,,,,,,,,,,,,,,,,,
dilute,verb,"вецакавтомс, ведиявтомс",,,,,,,,,,,,,,,,,,,
dimension,noun,"кувалмот-келеть, онкс",,,,,,,,,,,,,,,,,,,
dine,verb,ярсамс,,,,,,,,,,,,,,,,,,,
dining room,noun,ярсамо нупаль / кудо,,,,,,,,,,,,,,,,,,,
dinner,noun,чокшнэнь ярсамо,,,,,,,,,,,,,,,,,,,
dinosaur,noun,диносавр,,,,,,,,,,,,,,,,,,,
dip,verb,навтамс,,,,,,,,,,,,,,,,,,,
diploma,noun,диплома,,,,,,,,,,,,,,,,,,,
diplomat,noun,дипломат,,,,,,,,,,,,,,,,,,,
direct,adjective,видьстэ(нь),,,,,,,,,,,,,,,,,,,
direct,verb,ветямс,,,,,,,,,,,,,,,,,,,
direction,noun,ёнкс,,,,,,,,,,,,,,,,,,,
directions,noun,(use) тевс нолдамосо сёрмадовкс,,,,,,,,,,,,,,,,,,,
director,noun,"дилектор, директор",,,,,,,,,,,,,,,,,,,
directory,noun,кателог,,,,,,,,,,,,,,,,,,,
dirt,noun,мода,,,,,,,,,,,,,,,,,,,
dirty,adjective,"рудазов, рудаз потсо",,,,,,,,,,,,,,,,,,,
disability,noun,важодемс амаштовомачи,,,,,,,,,,,,,,,,,,,
disabled,adjective,важодемс амаштовикс,,,,,,,,,,,,,,,,,,,
disadvantage,noun,стакачи,,,,,,,,,,,,,,,,,,,
disagree,verb,а прамс ве мельс (on something мезень коряскак),,,,,,,,,,,,,,,,,,,
disagreement,noun,ве мельс апрамо,,,,,,,,,,,,,,,,,,,
disappear,verb,ёматомс,,,,,,,,,,,,,,,,,,,
disappearance,noun,ёмамо,,,,,,,,,,,,,,,,,,,
disappoint,verb,коламс мельспаро (someone киньгак мельспаронзо),,,,,,,,,,,,,,,,,,,
disappointing,adjective,мельспаронь колыця,,,,,,,,,,,,,,,,,,,
disappointment,noun,мельпаронь коламо,,,,,,,,,,,,,,,,,,,
disapproval,noun,авадрякс ловома / путома,,,,,,,,,,,,,,,,,,,
disapprove,verb,ловомс авадрякс / аёнкс,,,,,,,,,,,,,,,,,,,
disarm,verb,саемс леднемапельть,,,,,,,,,,,,,,,,,,,
disarmament,noun,леднемапелень ёртома,,,,,,,,,,,,,,,,,,,
disaster,noun,катастрофа,,,,,,,,,,,,,,,,,,,
disastrous,adjective,катасрофань кондямо,,,,,,,,,,,,,,,,,,,
disband,verb,"лоткавтмс, путомс пе (вейсэндавксонтень)",,,,,,,,,,,,,,,,,,,
disbelief,noun,акемема,,,,,,,,,,,,,,,,,,,
disc,noun,диск,,,,,,,,,,,,,,,,,,,
discharge,noun,(medical) наволот-нолгат,,,,,,,,,,,,,,,,,,,
discharge,verb,нолдамс (армиясто),,,,,,,,,,,,,,,,,,,
disciple,noun,(Исусонь) тонавтниця,,,,,,,,,,,,,,,,,,,
discipline,noun,дисциплина,,,,,,,,,,,,,,,,,,,
disclose,verb,ливтемс лангс,,,,,,,,,,,,,,,,,,,
disclosure,noun,лангс ливтема,,,,,,,,,,,,,,,,,,,
disco,noun,дискотека,,,,,,,,,,,,,,,,,,,
discomfort,noun,аёнксчи,,,,,,,,,,,,,,,,,,,
disconnect,verb,керямс,,,,,,,,,,,,,,,,,,,
discontinue,verb,лоткамс,,,,,,,,,,,,,,,,,,,
discount,noun,вишкалгавтозь питне,,,,,,,,,,,,,,,,,,,
discourage,verb,меремс аштемеде,,,,,,,,,,,,,,,,,,,
discover,verb,"панжомс, муемс",,,,,,,,,,,,,,,,,,,
discovery,noun,"панжовкс, муевкс",,,,,,,,,,,,,,,,,,,
discreet,adjective,"визьксчамас асовавтыця, тактов",,,,,,,,,,,,,,,,,,,
discrepancy,noun,авейкетьксчи,,,,,,,,,,,,,,,,,,,
discretion,noun,такт,,,,,,,,,,,,,,,,,,,
discriminate,verb,??лепштямс (against somebody ),,,,,,,,,,,,,,,,,,,
discrimination,noun,??лепштямо,,,,,,,,,,,,,,,,,,,
discuss,verb,кортнемс (something мездеяк),,,,,,,,,,,,,,,,,,,
discussion,noun,кортнема,,,,,,,,,,,,,,,,,,,
disease,noun,орма,,,,,,,,,,,,,,,,,,,
disgrace,noun,визьксчама,,,,,,,,,,,,,,,,,,,
disgraceful,adjective,визьксчамань,,,,,,,,,,,,,,,,,,,
disguise,verb,асодавиксэкс оршамс-наряжамс,,,,,,,,,,,,,,,,,,,
disgust,noun,"мельсатуема, нулгодема",,,,,,,,,,,,,,,,,,,
disgusting,adjective,"мельсатуиця, уксномань кепсевтиця, нулгодькс",,,,,,,,,,,,,,,,,,,
dish,noun,"вакан, кедьгеть-вакант, кедьге",,,,,,,,,,,,,,,,,,,
dishonest,adjective,авидеойме,,,,,,,,,,,,,,,,,,,
dishwasher,noun,посудань шлямо машина,,,,,,,,,,,,,,,,,,,
disk,noun,диск,,,,,,,,,,,,,,,,,,,
dislocate,verb,таркастонзо лисемс (эзне),,,,,,,,,,,,,,,,,,,
dismantle,verb,калавтомс пельксэнь-пелькс,,,,,,,,,,,,,,,,,,,
dismiss,verb,нолдамс (молемс) ,панемс,,,,,,,,,,,,,,,,,,
dismissal,noun,(важодема таркасто) панема,,,,,,,,,,,,,,,,,,,
disobedience,noun,акунсолома,,,,,,,,,,,,,,,,,,,
disobedient,adjective,акунсолыця,,,,,,,,,,,,,,,,,,,
disobey,verb,а кунсоломс,,,,,,,,,,,,,,,,,,,
disorder,noun,лувонь-ладонь коламочи,,,,,,,,,,,,,,,,,,,
disperse,verb,срадомс,,,,,,,,,,,,,,,,,,,
displace,verb,аравтомс аволь эсь таркава,,,,,,,,,,,,,,,,,,,
display,noun,"невтема, невтелма",,,,,,,,,,,,,,,,,,,
display,verb,невтемс,,,,,,,,,,,,,,,,,,,
disprove,verb,невтемс (мезеяк) авидекс,,,,,,,,,,,,,,,,,,,
dispute,noun,пелькстамо,,,,,,,,,,,,,,,,,,,
dispute,verb,пелькстамс,,,,,,,,,,,,,,,,,,,
disrespectful,adjective,ломанькс апутыця,,,,,,,,,,,,,,,,,,,
disrupt,verb,"явомс тевстэ, эцемс кинь юткс",,,,,,,,,,,,,,,,,,,
disruption,noun,лоткавтома,,,,,,,,,,,,,,,,,,,
dissatisfied,adjective,мелень апак вите,,,,,,,,,,,,,,,,,,,
dissolve,verb,соламс ,солавтомс,,,,,,,,,,,,,,,,,,
distance,noun,васолкс ,ютко,,,,,,,,,,,,,,,,,,
distant,adjective,васолце ,васолдонь ,васолонь,,,,,,,,,,,,,,,,,
distinction,noun,явовома,,,,,,,,,,,,,,,,,,,
distinguish,verb,явомс (вейке лиятнень эйстэ),,,,,,,,,,,,,,,,,,,
distract,verb,явомс тевстэ,,,,,,,,,,,,,,,,,,,
distraction,noun,тевстэ явома,,,,,,,,,,,,,,,,,,,
distress,noun,кажочи,,,,,,,,,,,,,,,,,,,
distribute,verb,явшемс,,,,,,,,,,,,,,,,,,,
distribution,noun,явшема,,,,,,,,,,,,,,,,,,,
district,noun,"буе, ёнкс",,,,,,,,,,,,,,,,,,,
distrust,noun,акемема,,,,,,,,,,,,,,,,,,,
distrust,verb,а кемемс,,,,,,,,,,,,,,,,,,,
disturb,verb,"мешамс, явомс тевстэ",,,,,,,,,,,,,,,,,,,
disturbance,noun,лувсто лиснема,,,,,,,,,,,,,,,,,,,
ditch,noun,(чувозь) канал,,,,,,,,,,,,,,,,,,,
dive,verb,чопавтомс (ведьс),,,,,,,,,,,,,,,,,,,
diver,noun,чопавтниця,,,,,,,,,,,,,,,,,,,
diverse,adjective,эрьва кодамо,,,,,,,,,,,,,,,,,,,
diversion,noun,лияв ветямо ,шкань ютавтома,,,,,,,,,,,,,,,,,,
divert,verb,лияв ветямс,,,,,,,,,,,,,,,,,,,
divide,verb,явомс (something мезеяк),,,,,,,,,,,,,,,,,,,
division,noun,явокс ,явома,,,,,,,,,,,,,,,,,,
divorce,noun,явома,,,,,,,,,,,,,,,,,,,
divorce,verb,явомс (a couple мирдть-нить),,,,,,,,,,,,,,,,,,,
dizzy,adjective,прязо чаракадсь,,,,,,,,,,,,,,,,,,,
do,verb,теемс,,,,,,,,,,,,,,,,,,,
dock,noun,"венчень лотксема тарка, пристань",,,,,,,,,,,,,,,,,,,
doctor,noun,"(medical) ормаменстиця, врач",,,,,,,,,,,,,,,,,,,
document,noun,"документ, паспорт, конёв",,,,,,,,,,,,,,,,,,,
dog,noun,"киска, пине",,,,,,,,,,,,,,,,,,,
doll,noun,няка,,,,,,,,,,,,,,,,,,,
dolphin,noun,дельфин,,,,,,,,,,,,,,,,,,,
domestic,adjective,кудо(нь) (animal ракша) ,кудоютконь (work тевть),,,,,,,,,,,,,,,,,,
dominant,adjective,(мезень) лангсо покш,,,,,,,,,,,,,,,,,,,
dominate,verb,улемс покшокс (лангсо),,,,,,,,,,,,,,,,,,,
donate,verb,казнемс,,,,,,,,,,,,,,,,,,,
donation,noun,казне,,,,,,,,,,,,,,,,,,,
donkey,noun,"ишме, осёл",,,,,,,,,,,,,,,,,,,
door,noun,кенкш,,,,,,,,,,,,,,,,,,,
dormitory,noun,"вейсэнь эрямо кудо, общежитие",,,,,,,,,,,,,,,,,,,
dosage,noun,доза,,,,,,,,,,,,,,,,,,,
double,adjective,кавонзазь,,,,,,,,,,,,,,,,,,,
double-decker,noun,кавто этажосо бус,,,,,,,,,,,,,,,,,,,
doubt,noun,кавтолдома,,,,,,,,,,,,,,,,,,,
doubt,verb,"кавтолдомс, а кемемс",,,,,,,,,,,,,,,,,,,
doubtful,adjective,кавтолдовиця,,,,,,,,,,,,,,,,,,,
dough,noun,чапакс ,ярмак (сленг),,,,,,,,,,,,,,,,,,
dove,noun,гулька,,,,,,,,,,,,,,,,,,,
down,noun,(off a bird нармунень) пух,,,,,,,,,,,,,,,,,,,
down,adverb,алов,,,,,,,,,,,,,,,,,,,
downfall,noun,(crash) каладома,,,,,,,,,,,,,,,,,,,
downstairs,adverb,"ало этажсо, ало этажос",,,,,,,,,,,,,,,,,,,
downstream,adverb,"алов ведть, ведень чудеманть мельга",,,,,,,,,,,,,,,,,,,
downtown,noun,ош куншка,,,,,,,,,,,,,,,,,,,
dowry,noun,приданка,,,,,,,,,,,,,,,,,,,
dozen,noun,дюжина,,,,,,,,,,,,,,,,,,,
drag,verb,ускомс (масторга),,,,,,,,,,,,,,,,,,,
dragon,noun,инегуй,,,,,,,,,,,,,,,,,,,
dragonfly,noun,салмукссалы,,,,,,,,,,,,,,,,,,,
drain,noun,"(water) чудевтема, (ведень) нолдамо",,,,,,,,,,,,,,,,,,,
drain,verb,"чудевтемс, нолдамс ведь",,,,,,,,,,,,,,,,,,,
drama,noun,драма,,,,,,,,,,,,,,,,,,,
drastic,adjective,крута,,,,,,,,,,,,,,,,,,,
draw,verb,"(write) артомс, рисовамс",,,,,,,,,,,,,,,,,,,
drawing,noun,"артовкс, рисовавкс",,,,,,,,,,,,,,,,,,,
dream,noun,он,,,,,,,,,,,,,,,,,,,
dream,verb,онсто неемс,,,,,,,,,,,,,,,,,,,
dress,noun,платия,,,,,,,,,,,,,,,,,,,
dress,verb,оршамс,,,,,,,,,,,,,,,,,,,
dressing,noun,(medical) ранань тапаравкс,,,,,,,,,,,,,,,,,,,
drill,noun,бурав,,,,,,,,,,,,,,,,,,,
drill,verb,пелемс (буравсо),,,,,,,,,,,,,,,,,,,
drink,noun,симемапель,,,,,,,,,,,,,,,,,,,
drink,verb,симемс,,,,,,,,,,,,,,,,,,,
drip,noun,петнявкс,,,,,,,,,,,,,,,,,,,
drip,verb,петнямс,,,,,,,,,,,,,,,,,,,
drive,verb,панемс (стада) ,ветямс (машина),,,,,,,,,,,,,,,,,,
driver,noun,машинань ветиця,,,,,,,,,,,,,,,,,,,
driving licence,noun,ветямо прават,,,,,,,,,,,,,,,,,,,
drop,verb,прамс ,правтомс,,,,,,,,,,,,,,,,,,
drought,noun,"коське ие, коське шка",,,,,,,,,,,,,,,,,,,
drown,verb,ваямс (куломс) ,ваявтомс,,,,,,,,,,,,,,,,,,
drug,noun,ормаменькс,,,,,,,,,,,,,,,,,,,
druggist,noun,"аптекарь, ормаменькстеи",,,,,,,,,,,,,,,,,,,
drugstore,noun,"аптека, ормаменькскудо",,,,,,,,,,,,,,,,,,,
drum,noun,барабан,,,,,,,,,,,,,,,,,,,
drummer,noun,барабанщик,,,,,,,,,,,,,,,,,,,
drunk,adjective,"иредезь, иредьстэ",,,,,,,,,,,,,,,,,,,
dry,adjective,коське,,,,,,,,,,,,,,,,,,,
dry,verb,коськемс ,костямс,,,,,,,,,,,,,,,,,,
dryness,noun,коськечи,,,,,,,,,,,,,,,,,,,
duchess,noun,??герцогиня,,,,,,,,,,,,,,,,,,,
duck,noun,"яксярго, шенже",,,,,,,,,,,,,,,,,,,
dumb,adjective,(stupid) превтеме,,,,,,,,,,,,,,,,,,,
dune,noun,дюна,,,,,,,,,,,,,,,,,,,
dungeon,noun,"пекстамо тарка, тюрма",,,,,,,,,,,,,,,,,,,
dunk,verb,навомс,,,,,,,,,,,,,,,,,,,
duplicate,noun,копия,,,,,,,,,,,,,,,,,,,
duplicate,verb,теемс копия,,,,,,,,,,,,,,,,,,,
duplication,noun,копиянь теема,,,,,,,,,,,,,,,,,,,
durability,noun,цидярдома,,,,,,,,,,,,,,,,,,,
durable,adjective,цидярдыця,,,,,,,,,,,,,,,,,,,
duration,noun,кувалмо,,,,,,,,,,,,,,,,,,,
during,preposition,пингстэ,,,,,,,,,,,,,,,,,,,
dusk,noun,сундерькс,,,,,,,,,,,,,,,,,,,
dust,noun,пуль,,,,,,,,,,,,,,,,,,,
dusty,adjective,пулев,,,,,,,,,,,,,,,,,,,
duty,noun,(obligation) тонавтовиця тев ,(tax) каявкс,,,,,,,,,,,,,,,,,,
dye,noun,артомапель,,,,,,,,,,,,,,,,,,,
dye,verb,артомс,,,,,,,,,,,,,,,,,,,
dynamo,noun,динамо,,,,,,,,,,,,,,,,,,,
December,noun,"ацамков, ацамоков, кемкавтовоце ков",,,,,,,,,,,,,,,,,,,
each,adjective,эрьва,,,,,,,,,,,,,,,,,,,
each other,pronoun,вейке-вейке,,,,,,,,,,,,,,,,,,,
eager,adjective,мелень путозь теиця,,,,,,,,,,,,,,,,,,,
eagle,noun,"куцькан, тумоатякш",,,,,,,,,,,,,,,,,,,
ear,noun,пиле,,,,,,,,,,,,,,,,,,,
earlobe,noun,пилепоте,,,,,,,,,,,,,,,,,,,
early,adjective,валске мартонь ,шкадо икелень,,,,,,,,,,,,,,,,,,
earn,verb,тевень коряс получамс,,,,,,,,,,,,,,,,,,,
earring,noun,пилекс,,,,,,,,,,,,,,,,,,,
earth,noun,"мода, мастор",,,,,,,,,,,,,,,,,,,
earthquake,noun,"модасорадкс, модасорнома",,,,,,,,,,,,,,,,,,,
ease,noun,шождачи,,,,,,,,,,,,,,,,,,,
east,noun,"чилисема, чилисема ёнкс",,,,,,,,,,,,,,,,,,,
eastern,adjective,чилесемань,,,,,,,,,,,,,,,,,,,
eastwards,adverb,чилисемав,,,,,,,,,,,,,,,,,,,
easy,adjective,шожда,,,,,,,,,,,,,,,,,,,
eat,verb,(process) ярсамс ,(completed action) сэвемс,,,,,,,,,,,,,,,,,,
echo,noun,"вайгельсульть, кайте",,,,,,,,,,,,,,,,,,,
eclipse,noun,чинь ёмамо ,ковонь ёмамо,,,,,,,,,,,,,,,,,,
ecology,noun,экология,,,,,,,,,,,,,,,,,,,
economic,adjective,экономиянь,,,,,,,,,,,,,,,,,,,
economy,noun,экономия,,,,,,,,,,,,,,,,,,,
edge,noun,чире,,,,,,,,,,,,,,,,,,,
edit,verb,теемс редакция,,,,,,,,,,,,,,,,,,,
editor,noun,редактор,,,,,,,,,,,,,,,,,,,
educate,verb,тонавтомс-кастомс,,,,,,,,,,,,,,,,,,,
education,noun,тонавтнема,,,,,,,,,,,,,,,,,,,
eel,noun,гуйкал,,,,,,,,,,,,,,,,,,,
effect,noun,"мейлекс, савкс",,,,,,,,,,,,,,,,,,,
effective,adjective,"эффективной, виев",,,,,,,,,,,,,,,,,,,
efficiency,noun,эффективность,,,,,,,,,,,,,,,,,,,
efficient,adjective,эффективной,,,,,,,,,,,,,,,,,,,
effort,noun,виень путома,,,,,,,,,,,,,,,,,,,
egg,noun,"(нармунень, гуень, калонь) ал",,,,,,,,,,,,,,,,,,,
eight,numeral,кавксо,,,,,,,,,,,,,,,,,,,
eighteen,numeral,кемгавксово,,,,,,,,,,,,,,,,,,,
eighth,determiner,кавксоце,,,,,,,,,,,,,,,,,,,
eighty,numeral,кавксоньгемень,,,,,,,,,,,,,,,,,,,
eject,verb,ёртомс,,,,,,,,,,,,,,,,,,,
elaborate,adjective,деталь марто,,,,,,,,,,,,,,,,,,,
elbow,noun,кенере пакарь,,,,,,,,,,,,,,,,,,,
elder,adjective,покш,,,,,,,,,,,,,,,,,,,
elder,noun,(person) покш,,,,,,,,,,,,,,,,,,,
elect,verb,кочкамс,,,,,,,,,,,,,,,,,,,
election,noun,кочкамот,,,,,,,,,,,,,,,,,,,
electric,adjective,"электрикань, электрической",,,,,,,,,,,,,,,,,,,
electricity,noun,"тол, электричества",,,,,,,,,,,,,,,,,,,
elegance,noun,элегантность,,,,,,,,,,,,,,,,,,,
elegant,adjective,элегантной,,,,,,,,,,,,,,,,,,,
element,noun,элемент,,,,,,,,,,,,,,,,,,,
elephant,noun,слон,,,,,,,,,,,,,,,,,,,
elevation,noun,сэрь,,,,,,,,,,,,,,,,,,,
elevator,noun,лифт,,,,,,,,,,,,,,,,,,,
eleven,numeral,кевейкее,,,,,,,,,,,,,,,,,,,
eligible,adjective,кочкавикс,,,,,,,,,,,,,,,,,,,
eliminate,verb,"нардамс, ёртомс",,,,,,,,,,,,,,,,,,,
else,adverb,лия,,,,,,,,,,,,,,,,,,,
elude,verb,орголемс,,,,,,,,,,,,,,,,,,,
elusive,adjective,орголиця,,,,,,,,,,,,,,,,,,,
embargo,noun,эмбарго,,,,,,,,,,,,,,,,,,,
embark,verb,"совамс (венчс, менель венчс)",,,,,,,,,,,,,,,,,,,
embarrass,verb,визделгавтомс,,,,,,,,,,,,,,,,,,,
embarrassing,adjective,визделгавтыця,,,,,,,,,,,,,,,,,,,
embarrassment,noun,визделгадома,,,,,,,,,,,,,,,,,,,
embassy,noun,"кучолкс кудо, посольства",,,,,,,,,,,,,,,,,,,
embezzle,verb,саламс (фирмасо важодиця),,,,,,,,,,,,,,,,,,,
emblem,noun,эмблема,,,,,,,,,,,,,,,,,,,
embrace,verb,кутмордамс,,,,,,,,,,,,,,,,,,,
embryo,noun,"эмбрион, чачикс",,,,,,,,,,,,,,,,,,,
emerge,verb,лисемс,,,,,,,,,,,,,,,,,,,
emergency,noun,"зыян, авария",,,,,,,,,,,,,,,,,,,
emigrant,noun,масторкады,,,,,,,,,,,,,,,,,,,
emigrate,verb,кадомс масторонть,,,,,,,,,,,,,,,,,,,
emigration,noun,масторкадома,,,,,,,,,,,,,,,,,,,
emotion,noun,ёжомарямо,,,,,,,,,,,,,,,,,,,
emotional,adjective,ёжомарямонь,,,,,,,,,,,,,,,,,,,
emperor,noun,инеазор,,,,,,,,,,,,,,,,,,,
emphasis,noun,тешкстамо,,,,,,,,,,,,,,,,,,,
emphasize,verb,тешкстамс,,,,,,,,,,,,,,,,,,,
empire,noun,инязормастор,,,,,,,,,,,,,,,,,,,
employ,verb,саемс важодеме,,,,,,,,,,,,,,,,,,,
employee,noun,важодиця,,,,,,,,,,,,,,,,,,,
employer,noun,тевень максыця,,,,,,,,,,,,,,,,,,,
employment,noun,тевень максома,,,,,,,,,,,,,,,,,,,
empty,adjective,чаво,,,,,,,,,,,,,,,,,,,
empty,verb,чамдомс,,,,,,,,,,,,,,,,,,,
enable,verb,лездамс,,,,,,,,,,,,,,,,,,,
encircle,verb,саемс кирьксс,,,,,,,,,,,,,,,,,,,
enclose,verb,"совавтомс, путомс (потс)",,,,,,,,,,,,,,,,,,,
enclosure,noun,(land) пирявкс,,,,,,,,,,,,,,,,,,,
encounter,noun,ванстома,,,,,,,,,,,,,,,,,,,
encounter,verb,вастомс,,,,,,,,,,,,,,,,,,,
encourage,verb,меремс (теемеде),,,,,,,,,,,,,,,,,,,
encouragement,noun,(теемеде) мерема,,,,,,,,,,,,,,,,,,,
end,noun,"пе, маштома",,,,,,,,,,,,,,,,,,,
endanger,verb,"совавтомс, зыяндо пелемачи",,,,,,,,,,,,,,,,,,,
endeavour,noun,"бажамо, снартнема",,,,,,,,,,,,,,,,,,,
endless,adjective,певтеме,,,,,,,,,,,,,,,,,,,
endorse,verb,(approve) пшкадемс (мезень) кисэ,,,,,,,,,,,,,,,,,,,
endorsement,noun,(approval) (мезень) кисэ пшкадема ,(check) (чекс) кедень путома,,,,,,,,,,,,,,,,,,
endurance,noun,"кирдема, цидярдома",,,,,,,,,,,,,,,,,,,
endure,verb,"цидярдомс, кирдемс",,,,,,,,,,,,,,,,,,,
enemy,noun,"ят, душман",,,,,,,,,,,,,,,,,,,
energy,noun,энергия,,,,,,,,,,,,,,,,,,,
enforce,verb,топавтомс,,,,,,,,,,,,,,,,,,,
engagement,noun,(marry) ладямо,,,,,,,,,,,,,,,,,,,
engine,noun,мотор,,,,,,,,,,,,,,,,,,,
engineer,noun,инженёр,,,,,,,,,,,,,,,,,,,
engrave,verb,гравировамс,,,,,,,,,,,,,,,,,,,
enjoy,verb,паро мельсэ (+ теемавал),,,,,,,,,,,,,,,,,,,
enjoyable,adjective,мельспаронь кандыця,,,,,,,,,,,,,,,,,,,
enjoyment,noun,мельспаро,,,,,,,,,,,,,,,,,,,
enlarge,verb,покшолгавтомс,,,,,,,,,,,,,,,,,,,
enlargement,noun,покшолгавтома,,,,,,,,,,,,,,,,,,,
enormous,adjective,покштояк покш,,,,,,,,,,,,,,,,,,,
enough,adverb,сатышка,,,,,,,,,,,,,,,,,,,
enrol,verb,сёрмадстомс пря (школав),,,,,,,,,,,,,,,,,,,
enrolment,noun,прянь сёрмадстома,,,,,,,,,,,,,,,,,,,
ensure,verb,кемекстамс,,,,,,,,,,,,,,,,,,,
enter,verb,совамс,,,,,,,,,,,,,,,,,,,
entertain,verb,мель витемс,,,,,,,,,,,,,,,,,,,
entertainment,noun,мелень витема,,,,,,,,,,,,,,,,,,,
enthusiasm,noun,мелень путомачи,,,,,,,,,,,,,,,,,,,
enthusiastic,adjective,мелень путыця,,,,,,,,,,,,,,,,,,,
entire,adjective,"весе, цела",,,,,,,,,,,,,,,,,,,
entirely,adverb,"овсе, тунь",,,,,,,,,,,,,,,,,,,
entrance,noun,совамо тарка,,,,,,,,,,,,,,,,,,,
entry,noun,совамо,,,,,,,,,,,,,,,,,,,
envelope,noun,"сёрмалангакс, конверт",,,,,,,,,,,,,,,,,,,
envious,adjective,сельмтне сиядыть,,,,,,,,,,,,,,,,,,,
environment,noun,пертьпелькс,,,,,,,,,,,,,,,,,,,
envy,noun,"сельмень сиядома, сельмень сявадома.― v.",,,,,,,,,,,,,,,,,,,
epidemic,noun,кезов,,,,,,,,,,,,,,,,,,,
equal,adjective,вейкеть,,,,,,,,,,,,,,,,,,,
equality,noun,вейкетьксчи,,,,,,,,,,,,,,,,,,,
equally,adverb,вейкетьстэ,,,,,,,,,,,,,,,,,,,
equator,noun,экватор,,,,,,,,,,,,,,,,,,,
equip,verb,ёрамс,,,,,,,,,,,,,,,,,,,
equipment,noun,оборудования,,,,,,,,,,,,,,,,,,,
equivalent,adjective,вейкетьстэ аштиця,,,,,,,,,,,,,,,,,,,
erase,verb,нардамс,,,,,,,,,,,,,,,,,,,
eraser,noun,нардамо резина,,,,,,,,,,,,,,,,,,,
erect,verb,"стявтомс, путомс",,,,,,,,,,,,,,,,,,,
error,noun,ильведевкс,,,,,,,,,,,,,,,,,,,
erupt,verb,"сезевемс, пургсемс (толпандо)",,,,,,,,,,,,,,,,,,,
eruption,noun,сезевема,,,,,,,,,,,,,,,,,,,
escalate,verb,"келемемс, кирваземс",,,,,,,,,,,,,,,,,,,
escape,noun,оргодема,,,,,,,,,,,,,,,,,,,
escape,verb,оргодемс,,,,,,,,,,,,,,,,,,,
escort,noun,??ильти ломанть,,,,,,,,,,,,,,,,,,,
escort,verb,ильтемс,,,,,,,,,,,,,,,,,,,
especially,adverb,весемеде пек,,,,,,,,,,,,,,,,,,,
espionage,noun,эспонаж,,,,,,,,,,,,,,,,,,,
essential,adjective,эрявикс,,,,,,,,,,,,,,,,,,,
establish,verb,"путомс лув, путомс юр",,,,,,,,,,,,,,,,,,,
establishment,noun,институция,,,,,,,,,,,,,,,,,,,
estimate,verb,путомс питне,,,,,,,,,,,,,,,,,,,
eternal,adjective,пингеде-пингень,,,,,,,,,,,,,,,,,,,
eternity,noun,пингеде-пингень эрямо,,,,,,,,,,,,,,,,,,,
etiquette,noun,прянь ветямо лув,,,,,,,,,,,,,,,,,,,
evacuate,verb,чамдомс (ломанде),,,,,,,,,,,,,,,,,,,
evacuation,noun,(ломанде) чамдома,,,,,,,,,,,,,,,,,,,
evade,verb,орголемс,,,,,,,,,,,,,,,,,,,
evaluate,verb,путомс питнейчи,,,,,,,,,,,,,,,,,,,
evaporate,verb,соламс (коштс ведте),,,,,,,,,,,,,,,,,,,
evasion,noun,орголема,,,,,,,,,,,,,,,,,,,
evasive,adjective,орголиця,,,,,,,,,,,,,,,,,,,
even,adjective,вейкеть,,,,,,,,,,,,,,,,,,,
even,adverb,"натой, мик, -гак...",,,,,,,,,,,,,,,,,,,
evening,noun,покшнэ,,,,,,,,,,,,,,,,,,,
event,noun,улевкс,,,,,,,,,,,,,,,,,,,
eventful,adjective,ламо тев марто,,,,,,,,,,,,,,,,,,,
eventual,adjective,"мейлень, сы шкань",,,,,,,,,,,,,,,,,,,
eventually,adverb,мейле ансяк,,,,,,,,,,,,,,,,,,,
ever,adverb,зярдояк,,,,,,,,,,,,,,,,,,,
every,adjective,эрьва,,,,,,,,,,,,,,,,,,,
everybody,pronoun,эрьватась,,,,,,,,,,,,,,,,,,,
everything,pronoun,эрьвась,,,,,,,,,,,,,,,,,,,
everywhere,adverb,эрьва косо,,,,,,,,,,,,,,,,,,,
evict,verb,"кшувавтомс (квартерасто), панемс",,,,,,,,,,,,,,,,,,,
eviction,noun,кшувавтома,,,,,,,,,,,,,,,,,,,
evidence,noun,чумондомапель,,,,,,,,,,,,,,,,,,,
evil,adjective,"апаро, амазынь",,,,,,,,,,,,,,,,,,,
evolution,noun,эволюция,,,,,,,,,,,,,,,,,,,
exact,adjective,точной,,,,,,,,,,,,,,,,,,,
exactly,adverb,"цяр, цяк",,,,,,,,,,,,,,,,,,,
exaggerate,verb,"покшсто невтемс, покшолгавтомс",,,,,,,,,,,,,,,,,,,
