Word,Definition,Category,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
completion,прядомо; шумордомо,,,,,,,,,,,,,
complexion,чама тюс; киське тюс,,,,,,,,,,,,,
compliance,кунсолома,,,,,,,,,,,,,
complicate,стакалгавтомс,,,,,,,,,,,,,
complication,стакалгавтома,,,,,,,,,,,,,
compliment,паронь арсемань ёвтамо,,,,,,,,,,,,,
comply,кунсоломс,,,,,,,,,,,,,
component,пелькс,,,,,,,,,,,,,
compose,ладсемс музыка,,,,,,,,,,,,,
composer,музыка ладси,,,,,,,,,,,,,
composure,седейкирдема,,,,,,,,,,,,,
comprehend,саемс превс,,,,,,,,,,,,,
comprehension,превс саевема,,,,,,,,,,,,,
comprehensive,келей,,,,,,,,,,,,,
compress,кирьмицямс,,,,,,,,,,,,,
compromise,ве мельс само,,,,,,,,,,,,,
compromise,1. самс ве мельс 2. нолдамс берянь куля; киньгак лангс,,,,,,,,,,,,,
compulsive,кармавтыцянь кондямо,,,,,,,,,,,,,
compulsory,кармавтозь,,,,,,,,,,,,,
computer,компьютер,,,,,,,,,,,,,
comrade,ялга,,,,,,,,,,,,,
conceal,кекшемс,,,,,,,,,,,,,
concede,потамс; видькстамс,,,,,,,,,,,,,
conceited,эсь прянь вечкиця,,,,,,,,,,,,,
conceive,арсемс; вельмемс (арсема),,,,,,,,,,,,,
concentrate,явомс мель (вейке тевнень),,,,,,,,,,,,,
concentration,(вейке тевнень) мелень явома,,,,,,,,,,,,,
concept,чарькодевкс,,,,,,,,,,,,,
conception,(thought) чарькодевкс,,,,,,,,,,,,,
concern,мелявкс,,,,,,,,,,,,,
concerning,ланга; коряс,,,,,,,,,,,,,
concert,концерта,,,,,,,,,,,,,
concession,микшнемань прават,,,,,,,,,,,,,
concise,точной,,,,,,,,,,,,,
conclude,прамс ве мельс,,,,,,,,,,,,,
conclusion,ве мельс прамо,,,,,,,,,,,,,
conclusive,пес арсезь,,,,,,,,,,,,,
concrete,бетон,,,,,,,,,,,,,
concussion,пряудемень сорновтома,,,,,,,,,,,,,
condemn,судямс; сялдомс,,,,,,,,,,,,,
condemnation,судямо; сялдома,,,,,,,,,,,,,
condensation,ливезькадома; ливезь (вальмань),,,,,,,,,,,,,
condense,ливезькадомс,,,,,,,,,,,,,
condition,настояние; аштемачи,,,,,,,,,,,,,
conditional,условной; (мезде-бути) аштиця,,,,,,,,,,,,,
condolences,седеймарямо,,,,,,,,,,,,,
condone,меремс (теемс),,,,,,,,,,,,,
conduct,(behavior) прянь ветямо,,,,,,,,,,,,,
conduct,(lead) ветямс,,,,,,,,,,,,,
conductor,дирижёр; оркестрань ветиця,,,,,,,,,,,,,
confederation,конфедерация,,,,,,,,,,,,,
confer,кортамс-теемс (кевкстемадонть эрьва ёндо),,,,,,,,,,,,,
conference,конференция,,,,,,,,,,,,,
confess,видькстамс,,,,,,,,,,,,,
confession,видькстамо,,,,,,,,,,,,,
confide,кемемс (киненьгак),,,,,,,,,,,,,
confidence,эсь лангс кемема,,,,,,,,,,,,,
confident,эсь лангс кемиця,,,,,,,,,,,,,
confidential,кемевиксэнь,,,,,,,,,,,,,
confine,кирдемс; анолдамс оляс,,,,,,,,,,,,,
confinement,кирдемачи,,,,,,,,,,,,,
confirm,кемекстамс,,,,,,,,,,,,,
confirmation,кемекстамо,,,,,,,,,,,,,
confiscate,конфисковамс; саемс улипаро,,,,,,,,,,,,,
confiscation,улипаронь саема (власть),,,,,,,,,,,,,
conflict,карадокаршо аштема,,,,,,,,,,,,,
conflicting,карадокаршо аштиця,,,,,,,,,,,,,
confront,невтемс (кинень; мейсэ чумондыть),,,,,,,,,,,,,
confrontation,(чумондомапелень) невтема (чумондознень),,,,,,,,,,,,,
confuse,кавтолдовтомс,,,,,,,,,,,,,
confusing,кавтолдовтыця,,,,,,,,,,,,,
confusion,човоргадома,,,,,,,,,,,,,
congestion,ламо ведь; летьке (органсо); пробка,,,,,,,,,,,,,
congratulate,ёвтамс (кинень) паро мель,,,,,,,,,,,,,
congratulations,паро мель (изнявксонь кисэ),,,,,,,,,,,,,
congregation,кемицянь куро,,,,,,,,,,,,,
congress,конгресс,,,,,,,,,,,,,
connect,сюлмамс,,,,,,,,,,,,,
connection,сюлмавкс,,,,,,,,,,,,,
conquer,изнямс,,,,,,,,,,,,,
conquest,кедьалов саема (мастор),,,,,,,,,,,,,
conscience,совесть; чамачи,,,,,,,,,,,,,
conscious,содазь; содыцянь,,,,,,,,,,,,,
consciousness,ёжо,,,,,,,,,,,,,
consecutive,мельга-мельцек,,,,,,,,,,,,,
consent,мерема,,,,,,,,,,,,,
consent,меремс,,,,,,,,,,,,,
consequence,последствия; мейлекс,,,,,,,,,,,,,
conservation,ванстома (илязо ёма),,,,,,,,,,,,,
consider,онкстамс; арсемс,,,,,,,,,,,,,
considerable,покш,,,,,,,,,,,,,
considerably,пек; ламо,,,,,,,,,,,,,
considerate,мелень ваныця,,,,,,,,,,,,,
consideration,онкстамс саема; арсемс саема,,,,,,,,,,,,,
considering,лангс ванозь,,,,,,,,,,,,,
consist,аштемс (мездеяк),,,,,,,,,,,,,
consistent,вейкетьстэ теезь; вейкетьстэ теиця,,,,,,,,,,,,,
consolidate,вейсэндямс,,,,,,,,,,,,,
consonant,согласной; аморавикс вайгелькс,,,,,,,,,,,,,
conspiracy,салавалув,,,,,,,,,,,,,
constable,милиционер,,,,,,,,,,,,,
constant,свалшкань; вейкетьстэ,,,,,,,,,,,,,
constantly,свал; апак лотксе,,,,,,,,,,,,,
constipation,пекень пекставома,,,,,,,,,,,,,
constitution,конституция,,,,,,,,,,,,,
construct,чапомс-путомс; теемс,,,,,,,,,,,,,
construction,чапома-путома; теема,,,,,,,,,,,,,
consul,посол; кучолкс,,,,,,,,,,,,,
consulate,кучолкс кудо; посольства,,,,,,,,,,,,,
consult,консультировамс,,,,,,,,,,,,,
consultant,консультант,,,,,,,,,,,,,
consultation,консультация,,,,,,,,,,,,,
consumption,ютавтома,,,,,,,,,,,,,
contact,(person) эсь ломань; контактной ломань,,,,,,,,,,,,,
contact,сюлмавомс (киньгак),,,,,,,,,,,,,
contagious,педиця,,,,,,,,,,,,,
contain,(мезень) потсо улемс,,,,,,,,,,,,,
container,кедьге,,,,,,,,,,,,,
contaminate,аванькскавтомс,,,,,,,,,,,,,
contamination,аванькскавтома,,,,,,,,,,,,,
contemplate,онкстамс; арсемс,,,,,,,,,,,,,
contemplation,онкстамо; арсема,,,,,,,,,,,,,
contempt,мезекскак аловома,,,,,,,,,,,,,
contemptible,мезекскак алововикс,,,,,,,,,,,,,
content,мельспаросо,,,,,,,,,,,,,
contest,пелькстамс,,,,,,,,,,,,,
context,контекст,,,,,,,,,,,,,
continent,инемода (эвропа; Азия; Африка),,,,,,,,,,,,,
continental,инемодань; континентальной,,,,,,,,,,,,,
continually,апак лотксе,,,,,,,,,,,,,
continuation,поладкс,,,,,,,,,,,,,
continue,поладомс,,,,,,,,,,,,,
continuous,апак лотксе,,,,,,,,,,,,,
contour,сулейкс; контур,,,,,,,,,,,,,
contraband,салава ускозь товар,,,,,,,,,,,,,
contraception,(пекиямодо)  ванстома,,,,,,,,,,,,,
contraceptive,(пекиямодо) ванстомка,,,,,,,,,,,,,
contract,договор,,,,,,,,,,,,,
contraction,(birth) схваткат,,,,,,,,,,,,,
contradict,кортамс эсь каршо,,,,,,,,,,,,,
contradiction,эсь каршо кортамо; эсь каршо молема,,,,,,,,,,,,,
contrary,мекевлангт,,,,,,,,,,,,,
contrast,карадо-каршо аравтомачи,,,,,,,,,,,,,
contribute,казнемс (вейсэнь тевс),,,,,,,,,,,,,
contribution,(вейсэнь тевс) казне,,,,,,,,,,,,,
control,(power) кедьало кирдемачи,,,,,,,,,,,,,
control,кирдемс кедьало,,,,,,,,,,,,,
controversy,пелькстамо,,,,,,,,,,,,,
convalescence,пичксема,,,,,,,,,,,,,
convene,тердемс пуромомо; пуромомс,,,,,,,,,,,,,
convenience,удобства,,,,,,,,,,,,,
convenient,удобной,,,,,,,,,,,,,
convention,конференция;кемекстазь кой,,,,,,,,,,,,,
conversation,кортнема,,,,,,,,,,,,,
conversion,полавтома,,,,,,,,,,,,,
convert,полавтомс,,,,,,,,,,,,,
convey,кандомс,,,,,,,,,,,,,
convict,пекстазь ломань,,,,,,,,,,,,,
convict,ловомс чумокс,,,,,,,,,,,,,
conviction,(law) чумокс ловома,,,,,,,,,,,,,
convince,кемевтемс,,,,,,,,,,,,,
convincing,кемевтиця,,,,,,,,,,,,,
convulsion,(эсьормадо) кулсема; (ракамодо) кунст прамо,,,,,,,,,,,,,
cook,пидиця-паниця,,,,,,,,,,,,,
cook,пидемс; пидемс-панемс; анокстамс ярсамопель,,,,,,,,,,,,,
cooking,пидема-панема,,,,,,,,,,,,,
cool,экше,,,,,,,,,,,,,
cool,кельмевтемс; экшелгавтомс,,,,,,,,,,,,,
cooperate,теемс вейсэнь тев,,,,,,,,,,,,,
cooperation,вейсэнь тев,,,,,,,,,,,,,
cooperative,вейсэнь тевень теиця,,,,,,,,,,,,,
coordinate,координировамс,,,,,,,,,,,,,
coordination,координировамо,,,,,,,,,,,,,
cop,полицей,,,,,,,,,,,,,
copper,пиже (метал),,,,,,,,,,,,,
copy,копия,,,,,,,,,,,,,
copy,теемс копия,,,,,,,,,,,,,
coral,корал,,,,,,,,,,,,,
cord,пикс,,,,,,,,,,,,,
core,(умарень) седей,,,,,,,,,,,,,
cork,пробка; потомкс,,,,,,,,,,,,,
corkscrew,(суликань) панжомка,,,,,,,,,,,,,
corn,1. (eat) (Am) кукуруза 2. (Brit) шуж,,,,,,,,,,,,,
corner,ужо; угол,,,,,,,,,,,,,
coronation,(инеазоронь) каштазонь путома,,,,,,,,,,,,,
corporal,(military) капрал,,,,,,,,,,,,,
corporation,(company) акционерэнь вейсэндявкс,,,,,,,,,,,,,
corpse,улов,,,,,,,,,,,,,
correct,виде,,,,,,,,,,,,,
correction,витнема,,,,,,,,,,,,,
correspond,вейке-вейке ёнов молемс,,,,,,,,,,,,,
correspondence,вейке-вейкенень сёрмалезь,,,,,,,,,,,,,
correspondent,кореспондент,,,,,,,,,,,,,
corresponding,каршокс; корязонзо аштиця,,,,,,,,,,,,,
corridor,колидор; коридор,,,,,,,,,,,,,
corrupt,колезь,,,,,,,,,,,,,
corruption,колема,,,,,,,,,,,,,
cost,питне,,,,,,,,,,,,,
cost,стямс; питнезэ; аштемс,,,,,,,,,,,,,
costly,питнев; питней,,,,,,,,,,,,,
costume,костюм,,,,,,,,,,,,,
cottage,кудыне,,,,,,,,,,,,,
cotton,хлопок,,,,,,,,,,,,,
cough,коз,,,,,,,,,,,,,
cough,козомс,,,,,,,,,,,,,
council,прявткуро,,,,,,,,,,,,,
counsel,превспутома,,,,,,,,,,,,,
counsellor,превспутыця,,,,,,,,,,,,,
count,1. лововомс 2. ловомс,,,,,,,,,,,,,
counter,(window) микшнема эзем,,,,,,,,,,,,,
counterfeit,фальсифицировазь,,,,,,,,,,,,,
counterfeit,фальшивка,,,,,,,,,,,,,
counterfeit,фальсифицировамс,,,,,,,,,,,,,
countless,певтеме; апак лово,,,,,,,,,,,,,
country,1. (land) мастор 2. (nation) мастор; раське,,,,,,,,,,,,,
coup,масторсо властень нельгема,,,,,,,,,,,,,
couple,(two) кавтошка,,,,,,,,,,,,,
courage,апелемачи,,,,,,,,,,,,,
courageous,апелиця,,,,,,,,,,,,,
course,курс,,,,,,,,,,,,,
court,(law) суд,,,,,,,,,,,,,
court of law,суд,,,,,,,,,,,,,
courtesy,мелень ваномачи,,,,,,,,,,,,,
courthouse,судонь кудо,,,,,,,,,,,,,
courtroom,судонь нупаль,,,,,,,,,,,,,
courtyard,кардаз,,,,,,,,,,,,,
cousin,сыре лелянть-патянть эйкакшозо,,,,,,,,,,,,,
cover,вельтявкс; велькс; ланго,,,,,,,,,,,,,
cover,вельтямс,,,,,,,,,,,,,
cow,скал,,,,,,,,,,,,,
coward,пелиця; нумолоседей,,,,,,,,,,,,,
coyote,койот,,,,,,,,,,,,,
crab,краб,,,,,,,,,,,,,
crack,лазкс,,,,,,,,,,,,,
cracker,??хлопушка,,,,,,,,,,,,,
cradle,лавсь,,,,,,,,,,,,,
craftsman,мастеровой,,,,,,,,,,,,,
crafty,ёжов,,,,,,,,,,,,,
cramp,таргатома,,,,,,,,,,,,,
crane,(machine) кран,,,,,,,,,,,,,
crash,(машинасо) эшкевема; авария,,,,,,,,,,,,,
crater,кратер,,,,,,,,,,,,,
crave,превс ледемс,,,,,,,,,,,,,
crawl,ютамс ниле пильге лангсо,,,,,,,,,,,,,
crazy,превстэ лисезь,,,,,,,,,,,,,
cream,велькс; велс,,,,,,,,,,,,,
create,теемс; шкамс,,,,,,,,,,,,,
creation,теема; шкамо;теевкс; шкавкс,,,,,,,,,,,,,
creative,теиця; шкиця,,,,,,,,,,,,,
creature,ракша; пазонь чачовкс,,,,,,,,,,,,,
credentials,пачпорт; конёвт,,,,,,,,,,,,,
credibility,кемевиксчи,,,,,,,,,,,,,
credit,кредит,,,,,,,,,,,,,
cremate,пултамс (улов),,,,,,,,,,,,,
cremation,(уловонь) пултамо,,,,,,,,,,,,,
crescent,тарваз (ковдо),,,,,,,,,,,,,
crew,(венчсэ) команда,,,,,,,,,,,,,
crib,(for a baby) лавсь,,,,,,,,,,,,,
cricket,1. цирькун 2. (налксема) крикет,,,,,,,,,,,,,
crime,берянь тев,,,,,,,,,,,,,
criminal,приступник; берянь тевень теиця,,,,,,,,,,,,,
cripple,инвалид,,,,,,,,,,,,,
crisis,кризис,,,,,,,,,,,,,
critical,стака; сялдыця,,,,,,,,,,,,,
criticism,критика,,,,,,,,,,,,,
criticize,максомс критика; сялдомс,,,,,,,,,,,,,
crocodile,крокодил,,,,,,,,,,,,,
crooked,(shape) кичкере,,,,,,,,,,,,,
crop,(harvest) чачома; урожай,,,,,,,,,,,,,
cross,крёст,,,,,,,,,,,,,
crossing,ютамо тарка,,,,,,,,,,,,,
crossroads,киулосо ютамо тарка,,,,,,,,,,,,,
crouch,ландямс,,,,,,,,,,,,,
crow,варака,,,,,,,,,,,,,
crowd,толпа; ломань пусмо,,,,,,,,,,,,,
crowded,тыц; пешксе,,,,,,,,,,,,,
crown,(инеазоронь) каштаз,,,,,,,,,,,,,
cruel,казямо; кежей,,,,,,,,,,,,,
cruise,иневенчсэ уема,,,,,,,,,,,,,
cruise,уемс иневенчсэ,,,,,,,,,,,,,
cruiser,крейсер,,,,,,,,,,,,,
crumb,паморькс,,,,,,,,,,,,,
crusade,вийсэ (кемемас) совавтома,,,,,,,,,,,,,
crust,(bread) куво,,,,,,,,,,,,,
crutch,костыль,,,,,,,,,,,,,
cry,(call) серьгедема,,,,,,,,,,,,,
cry,1. (weep) авардемс 2. серьгедемс,,,,,,,,,,,,,
crystal,крусталь,,,,,,,,,,,,,
cuckoo clock,куко марто част,,,,,,,,,,,,,
cucumber,куяр,,,,,,,,,,,,,
culprit,чумо (ломань),,,,,,,,,,,,,
cult,культ,,,,,,,,,,,,,
cultivate,(crop) видемс-сокамс,,,,,,,,,,,,,
cultural,культурань,,,,,,,,,,,,,
culture,культура,,,,,,,,,,,,,
cup,чакшке,,,,,,,,,,,,,
cupboard,шкап,,,,,,,,,,,,,
cure,ормаменькс,,,,,,,,,,,,,
cure,1. пичкавтомс; менстямс орма 2. (тувонь сывельде) суводемс- качакавтомс; салтомс (илязо наксадо),,,,,,,,,,,,,
curiosity,любопытства; содамс бажамо,,,,,,,,,,,,,
curious,содамс бажиця; любопытной,,,,,,,,,,,,,
currency,валюта,,,,,,,,,,,,,
current,неень шкань. течинь,,,,,,,,,,,,,
current,(water) чуделма,,,,,,,,,,,,,
currently,неень шкане,,,,,,,,,,,,,
curse,сюдома,,,,,,,,,,,,,
curse,сюдомс,,,,,,,,,,,,,
curtain,шаршав,,,,,,,,,,,,,
curve,мендявкс; менькс,,,,,,,,,,,,,
cushion,тодов,,,,,,,,,,,,,
custody,кедьало кирдемачи,,,,,,,,,,,,,
custom,кой,,,,,,,,,,,,,
customary,коень коряс,,,,,,,,,,,,,
customer,рамиця; клиент,,,,,,,,,,,,,
customs,томаженной,,,,,,,,,,,,,
cut,керявкс,,,,,,,,,,,,,
cut,керямс,,,,,,,,,,,,,
cutting board,ведьлаз,,,,,,,,,,,,,
cycle,(series) цикля,,,,,,,,,,,,,
cylinder,цилиндра,,,,,,,,,,,,,
cyst,пузырь (рунгосо); касовкс,,,,,,,,,,,,,
Canada,Канада,,,,,,,,,,,,,
Canadian,Канадань,,,,,,,,,,,,,
Canadian,Канадань ломань,,,,,,,,,,,,,
Catholic,католикень,,,,,,,,,,,,,
Catholic,католик,,,,,,,,,,,,,
China,Китай мастор,,,,,,,,,,,,,
Chinese,Китаень,,,,,,,,,,,,,
Chinese,Китаень ломань,,,,,,,,,,,,,
Christ,Кристос,,,,,,,,,,,,,
Christian,кристианка; Кристоснэнь кемиця,,,,,,,,,,,,,
Christianity,кристианства,,,,,,,,,,,,,
Christmas,роштува; роштова,,,,,,,,,,,,,
Christmas present,роштова казне,,,,,,,,,,,,,
dad,тетя,,,,,,,,,,,,,
daddy,тетька,,,,,,,,,,,,,
dagger,кинжал,,,,,,,,,,,,,
daily,эрьва чинь,,,,,,,,,,,,,
dairy,ловсонь-оень завод,,,,,,,,,,,,,
dam,сёлт (мейсэ ведень чудемась лоткавтови),,,,,,,,,,,,,
damage,зыян,,,,,,,,,,,,,
damp,летьке,,,,,,,,,,,,,
dance,киштема,,,,,,,,,,,,,
dance,киштемс,,,,,,,,,,,,,
dancer,киштиця,,,,,,,,,,,,,
danger,зыяндо пелемачи,,,,,,,,,,,,,
dangerous,зыян кандыкс,,,,,,,,,,,,,
dark,чопода,,,,,,,,,,,,,
darken,чополгадомс,,,,,,,,,,,,,
darkness,чоподачи,,,,,,,,,,,,,
data,содамочи; информация,,,,,,,,,,,,,
date,(time) чи (аравтозь),,,,,,,,,,,,,
dative,датив,,,,,,,,,,,,,
daughter,тейтерь (киньгак),,,,,,,,,,,,,
daughter-in-law,урьва,,,,,,,,,,,,,
dawn,чинь лисема; ашолгадома,,,,,,,,,,,,,
dawn,лисемс чинстэнь,,,,,,,,,,,,,
day,чи,,,,,,,,,,,,,
dead,кулозь,,,,,,,,,,,,,
deadly,куловтыця,,,,,,,,,,,,,
deaf,амариця; пилевтеме,,,,,,,,,,,,,
deal,ве мельс само,,,,,,,,,,,,,
dealings,вастневема,,,,,,,,,,,,,
dean,(school) декан,,,,,,,,,,,,,
dear,вечкевикс,,,,,,,,,,,,,
death,кулома,,,,,,,,,,,,,
debate,пелькстамо,,,,,,,,,,,,,
debate,пелькстамс,,,,,,,,,,,,,
debris,лиядкст,,,,,,,,,,,,,
debt,долг,,,,,,,,,,,,,
decade,кемень иеть,,,,,,,,,,,,,
decay,наксадома,,,,,,,,,,,,,
decay,наксадомс,,,,,,,,,,,,,
deceased,кулыця,,,,,,,,,,,,,
deceit,манчема,,,,,,,,,,,,,
deceitful,манчиця,,,,,,,,,,,,,
deceive,манямс (кемезэ аволь истя),,,,,,,,,,,,,
decency,приличия,,,,,,,,,,,,,
decent,приличной; ладиця,,,,,,,,,,,,,
deception,манямо,,,,,,,,,,,,,
deceptive,маницянь,,,,,,,,,,,,,
decide,1. прамс ве мельс 2. саемс мель,,,,,,,,,,,,,
decision,ве мельс прамо,,,,,,,,,,,,,
deck,венч киякс; чувтонь апак вельтя киякс,,,,,,,,,,,,,
declaration,декларация,,,,,,,,,,,,,
declare,ёвтамс; видькстамс,,,,,,,,,,,,,
decline,аламолгадома; каладома,,,,,,,,,,,,,
decline,1. (fall) каладомс 2. (refuse) отказовамс,,,,,,,,,,,,,
decode,кодсто чарькодевиксэкс теемс,,,,,,,,,,,,,
decontaminate,урядомс аваньксчинть,,,,,,,,,,,,,
decorate,наряжамс; мазылгавтомс,,,,,,,,,,,,,
decoration,мазылгавтома; мазылгавтомка,,,,,,,,,,,,,
decrease,аламолгадомс,,,,,,,,,,,,,
dedicate,алтамс (something to someone мезеньгак киненьгак),,,,,,,,,,,,,
dedication,алтамо; алтавкс,,,,,,,,,,,,,
deduct,саемс (from косто),,,,,,,,,,,,,
deduction,(thought) ве мельс прамо (ве ломанде),,,,,,,,,,,,,
deed,(document) (асаевикс улипаронь) документ; конёв,,,,,,,,,,,,,
deep,домка; сэрей,,,,,,,,,,,,,
deep,васов,,,,,,,,,,,,,
deer,идемсея,,,,,,,,,,,,,
deface,амазылгавтомс,,,,,,,,,,,,,
default,апак сакшно кадома,,,,,,,,,,,,,
default,кадомс апак пандо,,,,,,,,,,,,,
defeat,изнявома,,,,,,,,,,,,,
defeat,изнявомс,,,,,,,,,,,,,
defect,асатыкс,,,,,,,,,,,,,
defective,асатыксэв,,,,,,,,,,,,,
defence,идема (мезеньгак) кисэ лисема; аштема,,,,,,,,,,,,,
defend,идемс; аштемс мезень кисэ,,,,,,,,,,,,,
defendant,чумондозь ломань (судсо),,,,,,,,,,,,,
defensive,(кинь) кисэ аштиця,,,,,,,,,,,,,
defer,айгемс; шаштомс (мейлес),,,,,,,,,,,,,
deference,потамо (лиянь лезэс),,,,,,,,,,,,,
defiance,каршомолема,,,,,,,,,,,,,
deficiency,(lack) аразь; асатыкс,,,,,,,,,,,,,
deficit,дефицит; асатстовкс,,,,,,,,,,,,,
define,чарькодевтемс; толковамс,,,,,,,,,,,,,
definite,содазь; максозь,,,,,,,,,,,,,
definitely,апак кавтолдо,,,,,,,,,,,,,
definition,чарькодевтема,,,,,,,,,,,,,
deformed,колавкс,,,,,,,,,,,,,
defraud,манямс (ярмак),,,,,,,,,,,,,
degrading,визькс совавтыця,,,,,,,,,,,,,
degree,(temperature) градус,,,,,,,,,,,,,
delay,таргсема шка,,,,,,,,,,,,,
delegate,делегат,,,,,,,,,,,,,
delegation,делегация,,,,,,,,,,,,,
deliberate,арсезь; арсень,,,,,,,,,,,,,
deliberately,арсезь,,,,,,,,,,,,,
delicate,аволь налксемань,,,,,,,,,,,,,
delicious,пек тантей,,,,,,,,,,,,,
delightful,кецявтыця,,,,,,,,,,,,,
deliver,пачтемс,,,,,,,,,,,,,
delivery,пачтема,,,,,,,,,,,,,
demand,вешема; кармавтома,,,,,,,,,,,,,
demand,вешемс; кармавтомс,,,,,,,,,,,,,
demanding,ламо вешиця,,,,,,,,,,,,,
democracy,демократия,,,,,,,,,,,,,
democratic,демократиянь,,,,,,,,,,,,,
demon,идемевсь,,,,,,,,,,,,,
demonstrate,1. невтемс (кода) 2. невтемс мель,,,,,,,,,,,,,
demonstration,тевень теемань невтема,,,,,,,,,,,,,
demote,валгстомс; алкиньгавтомс,,,,,,,,,,,,,
den,(animal) пизэ,,,,,,,,,,,,,
denial,ве мель апрамо; пелькстамо,,,,,,,,,,,,,
denounce,сялдомс,,,,,,,,,,,,,
dense,тусто,,,,,,,,,,,,,
dent,потмов празь тарка,,,,,,,,,,,,,
dentist,пеень врач,,,,,,,,,,,,,
deny,пелькстамс; молемс каршо,,,,,,,,,,,,,
depart,туемс (костояк),,,,,,,,,,,,,
department,1. явкс 2. кафедра,,,,,,,,,,,,,
department store,универмаг,,,,,,,,,,,,,
departure,туема,,,,,,,,,,,,,
depend,аштемс (мезестэяк),,,,,,,,,,,,,
dependable,кемевикс,,,,,,,,,,,,,
dependence,(мездеяк) аштемачи,,,,,,,,,,,,,
dependent,(мездеяк) аштиця,,,,,,,,,,,,,
deploy,срадомс; сравтомс,,,,,,,,,,,,,
deport,ускомс масторсто,,,,,,,,,,,,,
deportation,масторсто ускома / панема,,,,,,,,,,,,,
deposit,(bank) (ярмаконь) путома,,,,,,,,,,,,,
deposit,(bank) путомс (ярмак),,,,,,,,,,,,,
depot,вокзал; станция,,,,,,,,,,,,,
depression,(mental) нусмакадома,,,,,,,,,,,,,
deprive,а максомс,,,,,,,,,,,,,
depth,домкачи,,,,,,,,,,,,,
descendant,эйкакшбиё,,,,,,,,,,,,,
describe,ёвтнемс (кинь-бути); невтемс валсо,,,,,,,,,,,,,
description,невтема; ёвтнема,,,,,,,,,,,,,
desert,човарпакся,,,,,,,,,,,,,
desert,оргодемс (тевстэ; армиясто),,,,,,,,,,,,,
desertion,(армиясто) оргодема,,,,,,,,,,,,,
deserve,улемс достойной,,,,,,,,,,,,,
design,дизайн; чертявкс,,,,,,,,,,,,,
design,теемс план,,,,,,,,,,,,,
designate,невтемс; кочкамс,,,,,,,,,,,,,
designer,дизайнэнь теиця,,,,,,,,,,,,,
desire,правтома; покш мель,,,,,,,,,,,,,
desire,мел(ет)ь + улемс; мел(ет)ь молемс (мезень) кис,,,,,,,,,,,,,
desk,парта; столь; стувор,,,,,,,,,,,,,
desolate,аоймавтовикс,,,,,,,,,,,,,
despair,седей неже аразьчи,,,,,,,,,,,,,
despair,арась седей неже,,,,,,,,,,,,,
desperate,седей нежевтеме,,,,,,,,,,,,,
despise,сельмс неемс а вечкемс,,,,,,,,,,,,,
despite,кадык,,,,,,,,,,,,,
dessert,(ярсамодо мейле) ламбамопель,,,,,,,,,,,,,
destination,(journey) кмлангонь пе,,,,,,,,,,,,,
destiny,уцяска,,,,,,,,,,,,,
destitute,улипаровтомо; ярмактомо,,,,,,,,,,,,,
destroy,калавтомс; коламс; путомс пе,,,,,,,,,,,,,
destroyer,(ship) эскадронной миноносец,,,,,,,,,,,,,
destruction,калавтома,,,,,,,,,,,,,
detach,явомс,,,,,,,,,,,,,
detachable,явовикс,,,,,,,,,,,,,
detail,деталь,,,,,,,,,,,,,
detailed,??превейстэ аравтозь,,,,,,,,,,,,,
detain,кирдема,,,,,,,,,,,,,
detect,марямс,,,,,,,,,,,,,
detection,марямо,,,,,,,,,,,,,
detective,детектив,,,,,,,,,,,,,
detention,кирдема,,,,,,,,,,,,,
deter,(prevent) кардамс,,,,,,,,,,,,,
detergent,муськемапель,,,,,,,,,,,,,
determination,апотамочи,,,,,,,,,,,,,
determine,1. решамс 2. ве мельс прамс,,,,,,,,,,,,,
determined,апотыця,,,,,,,,,,,,,
detonate,кирьвазтемс (бомба),,,,,,,,,,,,,
detour,перькаки,,,,,,,,,,,,,
devaluation,апитнейгадома,,,,,,,,,,,,,
devalue,апитнейгавтомс,,,,,,,,,,,,,
devastate,яжамс-тапамс,,,,,,,,,,,,,
develop,касомс-кепедемс; кастома-кепедема,,,,,,,,,,,,,
development,касома-кепедема; кастома-кепедема,,,,,,,,,,,,,
deviate,явомс лиятнень эйстэ,,,,,,,,,,,,,
deviation,лиятнень эйстэ явома,,,,,,,,,,,,,
device,аппарат,,,,,,,,,,,,,
devil,идемевсь; шайтян,,,,,,,,,,,,,
devise,арсемс; ладямс,,,,,,,,,,,,,
devote,путомс ойме,,,,,,,,,,,,,
devotion,оймень путома,,,,,,,,,,,,,
dew,роса; валскень летьке,,,,,,,,,,,,,
diabetes,диабет,,,,,,,,,,,,,
diabetic,диабетикень,,,,,,,,,,,,,
diagnose,теемс диагноз,,,,,,,,,,,,,
diagnosis,диагноз,,,,,,,,,,,,,
diagram,диаграмма,,,,,,,,,,,,,
dial,диск (telephone; radio телефононь; радионь),,,,,,,,,,,,,
dialect,кортавкс; диалект,,,,,,,,,,,,,
dialogue,диалог,,,,,,,,,,,,,
diameter,диаметра; чачконкс,,,,,,,,,,,,,
diamond,алмаз,,,,,,,,,,,,,
diaper,тетькеметь,,,,,,,,,,,,,
diarrhea,пскизема,,,,,,,,,,,,,
diary,дневник,,,,,,,,,,,,,
dice,ногот,,,,,,,,,,,,,
dictate,ловномс диктант,,,,,,,,,,,,,
dictation,диктант,,,,,,,,,,,,,
dictator,диктатор,,,,,,,,,,,,,
